2024-11-27 13:29:04 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:04 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:04 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#updatePostTest
2024-11-27 13:29:04 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:04 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.afterInvocation - Test finished successfully: DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:05 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#DeletePostTest
2024-11-27 13:29:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:06 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.afterInvocation - Test finished successfully: logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:06 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#logoutTest
2024-11-27 13:29:06 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 13:29:08 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#closeBrowser
2024-11-27 13:29:08 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-27 13:29:08 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 13:29:10 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:18:02 INFO  AllureUIListener.afterInvocation - After method invocation: api.MuseumApiTest#setup
2024-11-27 14:18:02 INFO  AllureUIListener.afterInvocation - Test finished successfully: setup
2024-11-27 14:18:02 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 14:18:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 14:18:05 INFO  AllureUIListener.onTestStart - Test started: api.MuseumApiTest#MuseumApiTest
2024-11-27 14:18:10 INFO  AllureUIListener.attachAPIResponse - Attaching API Response...
2024-11-27 14:18:15 INFO  AllureUIListener.attachAPIResponse - Attaching API Response...
2024-11-27 14:18:16 INFO  AllureUIListener.attachAPIResponse - Attaching API Response...
2024-11-27 14:18:17 INFO  AllureUIListener.afterInvocation - After method invocation: api.MuseumApiTest#MuseumApiTest
